Artist,Prince
Album,Diamonds and Pearls
9,The Only Time,4:47
10,Ringfinger,5:45
11,Get Down Make Love,4:18

Artist,Nouvelle Vague
Album,Best Of
Track #,Title,Duration
1,I Melt With You,4:03
2,Just Can't Get Enough,3:09
3,Ever Fallen in Love,3:22
4,Master and Servant,3:20
5,Love Will Tear Us Apart,3:19
6,Heaven,4:07
7,Guns of Brixton,4:08
8,Teenage Kicks,2:11
9,All My Colours,3:56
10,Making Plans for Nigel,3:33
11,Blue Monday,3:05
12,Dancing With Myself,3:12
13,In a Manner of Speaking,3:58
14,Our Lips Are Sealed,3:29

Artist,Operation Ivy
Album,Operation Ivy (2007 Remaster)
Track #,Title,Duration
1,Knowledge (2007 Remaster),1:42
2,Sound System (2007 Remaster),2:14
3,Jaded (2007 Remaster),1:51
4,Take Warning (2007 Remaster),2:44
5,The Crowd (2007 Remaster),2:11
6,Bombshell (2007 Remaster),1:03
7,Unity (2007 Remaster),2:13
8,Vulnerability (2007 Remaster),2:00
9,Bankshot (2007 Remaster),1:33
10,One of These Days (2007 Remaster),1:07
11,Gonna Find You (2007 Remaster),1:54
12,Bad Town (2007 Remaster),2:35

Artist,Operation Ivy
Album,Operation Ivy (2007 Remaster)
Track #,Title,Duration
1,Smiling (2007 Remaster),1:46
2,Caution (2007 Remaster),1:28
3,Freeze Up (2007 Remaster),2:20
4,Artificial Life (2007 Remaster),2:05
5,Room Without a Window (2007 Remaster),1:32
6,Big City (2007 Remaster),2:16
7,Missionary (2007 Remaster),2:07
8,Junkie's Runnin' Dry (2007 Remaster),2:05
9,Here We Go Again (2007 Remaster),2:04
10,Hoboken (2007 Remaster),1:11
11,Yellin' In My Ear (2007 Remaster),1:33
12,Sleep Long (2007 Remaster),2:08
13,Healthy Body (2007 Remaster),1:40
14,Officer (2007 Remaster),1:59
15,I Got No (2007 Remaster),1:16

Artist,KMFDM
Album,Nihil
Track #,Title,Duration
1,Ultra,4:33
2,Juke Joint Jezebel,5:40
3,Flesh,5:01
4,Beast,5:06
5,Terror,4:49
6,Search & Destroy,3:26
7,Disobedience,4:42
8,Revolution,4:27
9,Brute,4:24
10,Trust,4:41
11,Nihil,2:04

Artist,GUNSHIP
Album,Unicorn
Track #,Title,Duration
1,"Monster in Paradise (feat. Milkie Way, Dave Lombardo, Tyler Bates)",5:30
2,Taste like Venom,3:26
3,Empress of the Damned (feat. Lights),3:50
4,"Tech Noir 2 (feat. John Carpenter, Charlie Simpson)",5:25
5,"DooM Dance (feat. Carpenter Brut, Gavin Rossdale)",3:36
6,Blood for the Blood God (feat. HEALTH),4:06
7,Weaponised Love,3:08
8,Ghost (feat. Power Glove),4:22
9,Darkness for Dreams,4:33
10,Holographic Heart (feat. Britta Phillips),3:52
11,Nuclear Date Night,4:31
12,Run like Hell,4:43
13,Lost Shadow,4:50
14,Postcard from the American Dream,5:01

Artist,George Clinton
Album,Computer Games
Track #,Title,Duration
1,Get Dressed,3:41
2,Man's Best Friend / Loopzilla,12:51
3,Pot Sharing Tots,3:45
4,Computer Games,6:46
5,Atomic Dog,4:47
6,Free Alterations,4:20
7,One Fun at a Time,4:29

Artist,Depeche Mode
Album,Songs Of Faith And Devotion (2006 Remastered Edition)
Track #,Title,Duration
1,I Feel You (2006 Remaster),4:36
2,Walking in My Shoes (2006 Remaster),5:26
3,Condemnation (2006 Remaster),3:29
4,Mercy in You (2006 Remaster),4:20
5,Judas (2006 Remaster),5:13
6,In Your Room (2006 Remaster),6:23
7,Get Right with Me (2006 Remaster),3:51
8,Rush (2006 Remaster),4:40
9,One Caress (2006 Remaster),3:33
10,Higher Love (2006 Remaster),5:56

Artist,David Bowie
Album,1. Outside (The Nathan Adler Diaries: A Hyper Cycle)
Track #,Title,Duration
1,Leon Take Us Outside,1:25
2,Outside,4:04
3,The Hearts Filthy Lesson,4:57
4,A Small Plot of Land,6:34
5,Segue: Baby Grace (A Horrid Cassette),1:39
6,Hallo Spaceboy,5:14
7,The Motel,6:50
8,I Have Not Been to Oxford Town,3:49
9,No Control,4:33
10,Segue: Algeria Touchshriek,2:03
11,The Voyeur of Utter Destruction (As Beauty),4:21
12,Segue: Ramona A. Stone / I Am With Name,4:01
13,Wishful Beginnings,5:08
14,We Prick You,4:35
15,Segue - Nathan Adler (Version #1),1:00
16,I’m Deranged,4:31
17,Thru’ These Architects Eyes,4:22
18,Segue - Nathan Adler (Version #2),0:28
19,Strangers When We Meet,5:07

Artist,Cradle of Filth
Album,Midian
Track #,Title,Duration
1,At the Gates of Midian,2:21
2,Cthulhu Dawn,4:17
3,Saffron’s Curse,6:32
4,Death Magick for Adepts,5:53
5,Lord Abortion,6:51
6,Amor e morte,6:44
7,Creatures That Kissed in Cold Mirrors,3:00
8,Her Ghost in the Fog,6:24
9,Satanic Mantra,0:50
10,Tearing the Veil From Grace,8:13
11,Tortured Soul Asylum,7:46

Artist,Empty Slot 25
Album,No Album
Track #,Title,Duration

Artist,Bad Religion
Album,Stranger Than Fiction
Track #,Title,Duration
1,Incomplete,2:29
2,Leave Mine to Me,2:06
3,Stranger Than Fiction,2:20
4,Tiny Voices,2:37
5,The Handshake,2:49
6,Better Off Dead,2:38
7,Infected,4:07
8,Television,2:03
9,Individual,1:58
10,Hooray for Me…,2:49
11,Slumber,2:41
12,Marked,1:48
13,Inner Logic,2:57
14,What It Is,2:08
15,21st Century (Digital Boy),2:47
16,News From the Front,2:22
17,Markovian Process,1:29

Artist,Bauhaus
Album,Crackle
Track #,Title,Duration
1,Double Dare,4:55
2,In the Flat Field,5:04
3,The Passion of Lovers,3:55
4,The Sanity Assassin,4:13
5,Silent Hedges,3:13
6,Hollow Hills,4:50
7,Mask,4:39
8,Kick in the Eye,3:39
9,Ziggy Stardust,3:16
10,Dark Entries,3:55
11,Terror Couple Kill Colonel,4:26
12,Spirit,3:48
13,Crowds,3:14

Artist,Rammstein
Album,Mutter
Track #,Title,Duration
1,Mein Herz brennt,4:39
2,Links 2 3 4,3:36
3,Sonne,4:32
4,Ich will,3:37
5,Feuer frei!,3:08
6,Mutter,4:28
7,Spieluhr,4:46
8,Zwitter,4:17
9,Rein raus,3:09
10,Adios,3:48
11,Nebel,4:54

Artist,Siouxsie and the Banshees
Album,The Best of Siouxsie and the Banshees
Track #,Title,Duration
1,Dear Prudence,3:49
2,Hong Kong Garden,2:53
3,Cities in Dust,4:03
4,Peek‐a‐boo,3:09
5,Happy House,3:51
6,Kiss Them for Me,4:23
7,Face to Face,4:21
8,Dizzy,3:10
9,Israel,4:53
10,Christine,2:59
11,Spellbound,3:17
12,Stargazer,3:18
13,Arabian Knights,3:07
14,The Killing Jar,3:59
